"New ID","latitude","longitude","Number_Total","NB_sp","NB_strates","Intervention in our classification","Intervention_reclass","Intervention_by_composition","intervention_by_complexity"
2167,"NA","NA",1,NA,NA,"sylvopasture","Other/unknown",NA,"Other"
2168,"3°33'00,000N","102°30'00,000E",1,NA,NA,"plantation crop combinations","Other/unknown",NA,"Other"
2340,"10°36'30,000N","93°14'00,000E",1,1,1,"tree monocrop","Other/unknown","Woody exclusive","Other"
238,"23°23'55,000N","103°23'43,000E",1,1,1,"sylvopasture","Other/unknown","Woody exclusive","Other"
1570,"43°44'00,000N","3°40'00,000E",1,1,1,"tree monocrop","Other/unknown","Woody exclusive","Other"
1519,"6°06'00,000N","0°49'00,000W",1,1,1,"tree monocrop","Other/unknown","Woody exclusive","Other"
1519,"6°06'00,000N","0°49'00,000W",1,1,1,"tree monocrop","Other/unknown","Woody exclusive","Other"
1519,"6°06'00,000N","0°49'00,000W",1,1,1,"tree monocrop","Other/unknown","Woody exclusive","Other"
1519,"6°06'00,000N","0°49'00,000W",1,1,1,"tree monocrop","Other/unknown","Woody exclusive","Other"
1351,"NA","NA",1,NA,NA,"homegarden","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"plantation crop combinations","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"multistory agroforestry","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"multistory agroforestry","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"homegarden","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"plantation crop combinations","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"plantation crop combinations","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"plantation crop combinations","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"multistory agroforestry","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"multistory agroforestry","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"multistory agroforestry","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"multistory agroforestry","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"multistory agroforestry","Hedgerows",NA,"Other"
1351,"NA","NA",1,NA,NA,"multistory agroforestry","Hedgerows",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"homegarden","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
1959,"11°21'00,000N","76°20'00,000E",1,NA,NA,"plantation crop combinations","Multi-strata systems",NA,"Other"
