"","numéro","n_spp","n_WE","n_WNE","n_HE","n_HNE","n_Med","n_edible","n_woody","dom_group","Concatenation","country","latitude","longitude","farm type","Intervention_reclass","exp_type","has_WNE","has_WE","has_HE"
"1","1",2,2,0,0,0,0,2,2,"WE","WE","Kenya","3°50'00,000S","39°45'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"2","1.1",2,2,0,0,0,0,2,2,"WE","WE","Kenya","3°50'00,000S","39°45'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"3","1.2",2,2,0,0,0,0,2,2,"WE","WE","Kenya","3°50'00,000S","39°45'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"4","1.3",2,2,0,0,0,0,2,2,"WE","WE","Kenya","3°50'00,000S","39°45'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"5","1.4",2,2,0,0,0,0,2,2,"WE","WE","Kenya","3°50'00,000S","39°45'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"6","1.5",2,2,0,0,0,0,2,2,"WE","WE","Kenya","3°50'00,000S","39°45'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"7","1.6",2,2,0,0,0,0,2,2,"WE","WE","Kenya","3°50'00,000S","39°45'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"8","1.7",2,2,0,0,0,0,2,2,"WE","WE","Kenya","3°50'00,000S","39°45'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"9","100",2,0,1,1,0,0,1,1,"HE","WNE, HE","Sudan","12°00'00,000N","30°00'00,000E","working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"10","1000",2,1,0,1,0,0,2,1,"HE","HE, WE","USA","47°13'12,960N","119°57'52,260W","working farm","Alley cropping","Edible only",FALSE,TRUE,TRUE
"11","1001",2,1,0,0,1,0,1,1,"WE","HNE, WE","USA","47°13'12,960N","119°57'52,260W","working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"12","1002",2,1,0,0,1,0,1,1,"WE","HNE, WE","USA","47°13'12,960N","119°57'52,260W","working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"13","1003",2,1,0,0,1,0,1,1,"WE","HNE, WE","USA","47°13'12,960N","119°57'52,260W","working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"14","1004",2,1,0,0,1,0,1,1,"WE","HNE, WE","USA","47°13'12,960N","119°57'52,260W","working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"15","1005",2,1,0,0,1,0,1,1,"WE","HNE, WE","USA","47°13'12,960N","119°57'52,260W","working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"16","1006",2,1,0,0,1,0,1,1,"WE","HNE, WE","USA","47°13'12,960N","119°57'52,260W","working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"17","1007",2,2,0,0,0,0,2,2,"WE","WE","France",NA,NA,"working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"18","1008",2,2,0,0,0,0,2,2,"WE","WE","France",NA,NA,"working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"19","1009",2,2,0,0,0,0,2,2,"WE","WE","France",NA,NA,"working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"20","1010",2,2,0,0,0,0,2,2,"WE","WE","France",NA,NA,"working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"21","1011",2,1,1,0,0,1,1,2,"WE","WNE, WE","Brazil","20°54'37,320S","47°06'43,800W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"22","1012",2,2,0,0,0,1,2,2,"WE","WE","Brazil","20°54'37,320S","47°06'43,800W","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"23","1013",2,1,1,0,0,1,1,2,"WE","WNE, WE","Brazil","20°54'37,320S","47°06'43,800W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
