numéro,New ID,N,source_id,title,keywords,abstract,Medicinal,journal,authors,publication year,country,location,latitude,longitude,lat_long_modifications,farm size,farm type,Design,Scale,Duration of study,soil,tree age treatment,Intervention in our classification,Intervention_reclass,Number_Total,Number_Woody,species treatment,tree density,shade,pruning,fertiliser organic treatment,fertiliser chemical treatment,fertiliser N treatment,irrigation treatment,tillage treatment,pesticide use treatment,Particular treatment,Mulch treatment,Grass cover treatment,Specific cultivar treatment,Previous land use,Tree age control,Control in our classification,species control,fertiliser organic control,fertiliser chemical control,fertiliser N control,irrigation control,tillage control,pesticide use control,Particular treatment (control),Mulch control,Grass cover control,Specific cultivar control,outcome,Biodiversity,Biodiversity_type,Yields,Yield_type,Financial,Financial returns,Soil,Soil_type,Carbon,Carbon_type,Water_details,Water,Tree traits,Tree_type,Pest and disease,PD_type,Other,Biodiversity,Agronomic,Socio,raw latitude,raw longitude,raw density,row N treatment,row N control,,
2714,1255,28524956,479,A comparison of agrisilvicultural systems with plantation forestry in the Atlantic lowlands of Costa Rica .1. Tree survival and growth,"tree increment, pests and diseases, Acacia mangium, Cordia alliodora, Costa Rica","Survival and growth data (ages 0-5 years) are presented for two timber species (Acacia mangium, Cordia alliodora) planted in monocultures or in association with a sequence of agricultural crops Zea mays, Zingiber officinale and Eugenia stipitata (a fruit shrub) in the tropical humid Caribbean lowlands of Costa Rica. Average annual height and diameter growth rates were 3.2 m and 4.0 cm (C. alliodora), 3.5 m and 3.8 cm (A. mangium). C. alliodora associated with crops gave the greatest productivity with an average total stem volume increment of 19 m(3) ha(-1) yr(-1). Root rot of A. mangium (mainly Rosellinia sp.), leading to tree mortality, was greater in pure plots compared to associated plots. A. mangium can nor be recommended for similar sites because of this problem.",,Agrofor. Syst.,"Kapp, G. B.
 
  and Beer, J.",1995,Costa Rica,"in Olivia, Talamanca on a flat flood plain of the Sixaola river ",NA,NA,,,experimental site,RCBD,Field,5,YES,1;1,plantation crop combinations (timber),Alley cropping,4,2,"Acacia mangium,Eugenia stipitata,Zea mays,Zingiber officinale",NA;556;NA,NA,YES,NA,YES,75,NA,NA,YES,,,,,clearing of a 40y CAFS that went after a banana plantation,1,tree monocrop,Acacia mangium,NA,NO,0,NA,NA,YES,,,,,,,,,,,,,,,,,,"tree height;crown diameter;stem diameter;tree basal area;total stem volume, tree mortality",tree traits,,,,,1,,,,6x3m,75kg N ha-1,0,,
2715,1255,28524956,479,A comparison of agrisilvicultural systems with plantation forestry in the Atlantic lowlands of Costa Rica .1. Tree survival and growth,"tree increment, pests and diseases, Acacia mangium, Cordia alliodora, Costa Rica","Survival and growth data (ages 0-5 years) are presented for two timber species (Acacia mangium, Cordia alliodora) planted in monocultures or in association with a sequence of agricultural crops Zea mays, Zingiber officinale and Eugenia stipitata (a fruit shrub) in the tropical humid Caribbean lowlands of Costa Rica. Average annual height and diameter growth rates were 3.2 m and 4.0 cm (C. alliodora), 3.5 m and 3.8 cm (A. mangium). C. alliodora associated with crops gave the greatest productivity with an average total stem volume increment of 19 m(3) ha(-1) yr(-1). Root rot of A. mangium (mainly Rosellinia sp.), leading to tree mortality, was greater in pure plots compared to associated plots. A. mangium can nor be recommended for similar sites because of this problem.",,Agrofor. Syst.,"Kapp, G. B.
 
  and Beer, J.",1995,Costa Rica,"in Olivia, Talamanca on a flat flood plain of the Sixaola river ",NA,NA,,,experimental site,RCBD,Field,5,YES,1;1,plantation crop combinations (timber),Alley cropping,4,2,"Acacia mangium,Eugenia stipitata,Zea mays,Zingiber officinale",NA;556;NA,NA,YES,NA,YES,75,NA,NA,YES,,,,,clearing of a 40y CAFS that went after a banana plantation,,monocrop rotation,"Eugenia stipitata,Zea mays,Zingiber officinale",NA,YES,75,NA,NA,YES,,,,,,,,,,,,,,,,,,"tree height;crown diameter;stem diameter;tree basal area;total stem volume, tree mortality",tree traits,,,,,1,,,,6x3m,75kg N ha-1,75kg N ha-1,,
2716,1255,28524956,479,A comparison of agrisilvicultural systems with plantation forestry in the Atlantic lowlands of Costa Rica .1. Tree survival and growth,"tree increment, pests and diseases, Acacia mangium, Cordia alliodora, Costa Rica","Survival and growth data (ages 0-5 years) are presented for two timber species (Acacia mangium, Cordia alliodora) planted in monocultures or in association with a sequence of agricultural crops Zea mays, Zingiber officinale and Eugenia stipitata (a fruit shrub) in the tropical humid Caribbean lowlands of Costa Rica. Average annual height and diameter growth rates were 3.2 m and 4.0 cm (C. alliodora), 3.5 m and 3.8 cm (A. mangium). C. alliodora associated with crops gave the greatest productivity with an average total stem volume increment of 19 m(3) ha(-1) yr(-1). Root rot of A. mangium (mainly Rosellinia sp.), leading to tree mortality, was greater in pure plots compared to associated plots. A. mangium can nor be recommended for similar sites because of this problem.",,Agrofor. Syst.,"Kapp, G. B.
 
  and Beer, J.",1995,Costa Rica,"in Olivia, Talamanca on a flat flood plain of the Sixaola river ",NA,NA,,,experimental site,RCBD,Field,5,YES,1;1,plantation crop combinations (timber),Alley cropping,4,2,"Cordia alliodora,Eugenia stipitata,Zea mays,Zingiber officinale",NA;556;NA,NA,YES,NA,YES,75,NA,NA,YES,,,,,clearing of a 40y CAFS that went after a banana plantation,1,tree monocrop,Cordia alliodora,NA,NO,0,NA,NA,YES,,,,,,,,,,,,,,,,,,"tree height;crown diameter;stem diameter;tree basal area;total stem volume, tree mortality",tree traits,,,,,1,,,,6x3m,75kg N ha-1,0,,
2717,1255,28524956,479,A comparison of agrisilvicultural systems with plantation forestry in the Atlantic lowlands of Costa Rica .1. Tree survival and growth,"tree increment, pests and diseases, Acacia mangium, Cordia alliodora, Costa Rica","Survival and growth data (ages 0-5 years) are presented for two timber species (Acacia mangium, Cordia alliodora) planted in monocultures or in association with a sequence of agricultural crops Zea mays, Zingiber officinale and Eugenia stipitata (a fruit shrub) in the tropical humid Caribbean lowlands of Costa Rica. Average annual height and diameter growth rates were 3.2 m and 4.0 cm (C. alliodora), 3.5 m and 3.8 cm (A. mangium). C. alliodora associated with crops gave the greatest productivity with an average total stem volume increment of 19 m(3) ha(-1) yr(-1). Root rot of A. mangium (mainly Rosellinia sp.), leading to tree mortality, was greater in pure plots compared to associated plots. A. mangium can nor be recommended for similar sites because of this problem.",,Agrofor. Syst.,"Kapp, G. B.
 
  and Beer, J.",1995,Costa Rica,"in Olivia, Talamanca on a flat flood plain of the Sixaola river ",NA,NA,,,experimental site,RCBD,Field,5,YES,1;1,plantation crop combinations (timber),Alley cropping,4,2,"Cordia alliodora,Eugenia stipitata,Zea mays,Zingiber officinale",NA;556;NA,NA,YES,NA,YES,75,NA,NA,YES,,,,,clearing of a 40y CAFS that went after a banana plantation,,monocrop rotation,"Eugenia stipitata,Zea mays,Zingiber officinale",NA,YES,75,NA,NA,YES,,,,,,,,,,,,,,,,,,"tree height;crown diameter;stem diameter;tree basal area;total stem volume, tree mortality",tree traits,,,,,1,,,,6x3m,75kg N ha-1,75kg N ha-1,,
3788,1256,28531083,7430,A comparison of alley cropping and block planting systems in sub-humid BÃ©nin,,"Alley cropping would be acceptable to farmers in West Africa, if the amount of tree-crop competition could be reduced and crop yields increased and stabilized. The importance of overall tree-crop competition in alley cropping was therefore quantified at three locations in the Republic of BÃ©nin, by comparing the performance of a maize-cassava intercrop and mixed hedges of Gliricidia sepium and Flemingia macrophylla in an alley cropping system, where the tree-crop interaction was high, and in a cut and carry system with block plantings, where the interface was restricted to one face. The establishment and productivity of trees in both agroforestry systems depended strongly on the natural soil fertility of the site, K and Ca being critical for both species. Alley hedges produced progressively more cut dry matter with higher leaf proportions than tree blocks and hence yielded significantly higher nutrient masses. Overall, the cut dry matter from five cuttings per cropping season ranged among locations from 855 to 1651 kg ha-1 yr-1 for alley hedges and from 777 to 869 kg ha-1 yr-1 for tree blocks. Differences in yields of maize and cassava between both systems were insignificant in all three environments and all cropping years under observation. The results of this study suggest that the overall effect of tree-crop competition was unimportant, but that tree-tree competition was the decisive factor in determining the total system productivity. Â© 1997 Kluwer Academic Publishers.",,Agroforestry Systems,"BÃ¶hringer, A
 
  and Leihner, D E",1996,Benin,in Houeto,"6°27'00,000N","2°30'00,000E",,,working farm,RCBD,Landscape,3,YES,1;1,alley-cropping,Alley-cropping,4,3,"Gliricidia sepium,Flemingia macrophylla,Manihot esculenta,Zea mays",14000;750;750;12500,NA,YES,NA,YES,48,NA,NA,NA,,,,,,,intercropping,"Manihot esculenta,Zea mays",NA,YES,48,NA,NA,NA,,,,,,,,tree productivity;crop yields,yield,,,,,,,,,,,,,,,1,,6°27N,2-3°E,30000;15000;15000,48kg N ha-1,48kg N ha-1,,
3789,1256,28531083,7430,A comparison of alley cropping and block planting systems in sub-humid BÃ©nin,,"Alley cropping would be acceptable to farmers in West Africa, if the amount of tree-crop competition could be reduced and crop yields increased and stabilized. The importance of overall tree-crop competition in alley cropping was therefore quantified at three locations in the Republic of BÃ©nin, by comparing the performance of a maize-cassava intercrop and mixed hedges of Gliricidia sepium and Flemingia macrophylla in an alley cropping system, where the tree-crop interaction was high, and in a cut and carry system with block plantings, where the interface was restricted to one face. The establishment and productivity of trees in both agroforestry systems depended strongly on the natural soil fertility of the site, K and Ca being critical for both species. Alley hedges produced progressively more cut dry matter with higher leaf proportions than tree blocks and hence yielded significantly higher nutrient masses. Overall, the cut dry matter from five cuttings per cropping season ranged among locations from 855 to 1651 kg ha-1 yr-1 for alley hedges and from 777 to 869 kg ha-1 yr-1 for tree blocks. Differences in yields of maize and cassava between both systems were insignificant in all three environments and all cropping years under observation. The results of this study suggest that the overall effect of tree-crop competition was unimportant, but that tree-tree competition was the decisive factor in determining the total system productivity. Â© 1997 Kluwer Academic Publishers.",,Agroforestry Systems,"BÃ¶hringer, A
 
  and Leihner, D E",1996,Benin,in Attotinga,"6°41'00,000N","2°30'00,000E",,,working farm,RCBD,Landscape,3,YES,1;1,alley-cropping,Alley-cropping,4,3,"Gliricidia sepium,Flemingia macrophylla,Manihot esculenta,Zea mays",14000;750;750;12500,NA,YES,NA,NA,NA,NA,NA,NA,,,,,,,intercropping,"Manihot esculenta,Zea mays",NO,NO,0,NA,NA,NA,,,,,,,,tree productivity;crop yields,yield,,,,,,,,,,,,,,,1,,6°41N,2-3°E,30000;15000;15000,NA,0,,
3790,1256,28531083,7430,A comparison of alley cropping and block planting systems in sub-humid BÃ©nin,,"Alley cropping would be acceptable to farmers in West Africa, if the amount of tree-crop competition could be reduced and crop yields increased and stabilized. The importance of overall tree-crop competition in alley cropping was therefore quantified at three locations in the Republic of BÃ©nin, by comparing the performance of a maize-cassava intercrop and mixed hedges of Gliricidia sepium and Flemingia macrophylla in an alley cropping system, where the tree-crop interaction was high, and in a cut and carry system with block plantings, where the interface was restricted to one face. The establishment and productivity of trees in both agroforestry systems depended strongly on the natural soil fertility of the site, K and Ca being critical for both species. Alley hedges produced progressively more cut dry matter with higher leaf proportions than tree blocks and hence yielded significantly higher nutrient masses. Overall, the cut dry matter from five cuttings per cropping season ranged among locations from 855 to 1651 kg ha-1 yr-1 for alley hedges and from 777 to 869 kg ha-1 yr-1 for tree blocks. Differences in yields of maize and cassava between both systems were insignificant in all three environments and all cropping years under observation. The results of this study suggest that the overall effect of tree-crop competition was unimportant, but that tree-tree competition was the decisive factor in determining the total system productivity. Â© 1997 Kluwer Academic Publishers.",,Agroforestry Systems,"BÃ¶hringer, A
 
  and Leihner, D E",1996,Benin,in Aguagon,"7°58'00,000N","2°30'00,000E",,,working farm,RCBD,Landscape,3,YES,1;1,alley-cropping,Alley-cropping,4,3,"Gliricidia sepium,Flemingia macrophylla,Manihot esculenta,Zea mays",14000;750;750;12500,NA,YES,NA,NA,NA,NA,NA,NA,,,,,,,intercropping,"Manihot esculenta,Zea mays",NO,NO,0,NA,NA,NA,,,,,,,,tree productivity;crop yields,yield,,,,,,,,,,,,,,,1,,7°58N,2-3°E,30000;15000;15000,NA,0,,
3791,1256,28531083,7430,A comparison of alley cropping and block planting systems in sub-humid BÃ©nin,,"Alley cropping would be acceptable to farmers in West Africa, if the amount of tree-crop competition could be reduced and crop yields increased and stabilized. The importance of overall tree-crop competition in alley cropping was therefore quantified at three locations in the Republic of BÃ©nin, by comparing the performance of a maize-cassava intercrop and mixed hedges of Gliricidia sepium and Flemingia macrophylla in an alley cropping system, where the tree-crop interaction was high, and in a cut and carry system with block plantings, where the interface was restricted to one face. The establishment and productivity of trees in both agroforestry systems depended strongly on the natural soil fertility of the site, K and Ca being critical for both species. Alley hedges produced progressively more cut dry matter with higher leaf proportions than tree blocks and hence yielded significantly higher nutrient masses. Overall, the cut dry matter from five cuttings per cropping season ranged among locations from 855 to 1651 kg ha-1 yr-1 for alley hedges and from 777 to 869 kg ha-1 yr-1 for tree blocks. Differences in yields of maize and cassava between both systems were insignificant in all three environments and all cropping years under observation. The results of this study suggest that the overall effect of tree-crop competition was unimportant, but that tree-tree competition was the decisive factor in determining the total system productivity. Â© 1997 Kluwer Academic Publishers.",,Agroforestry Systems,"BÃ¶hringer, A
 
  and Leihner, D E",1996,Benin,in Houeto,"6°27'00,000N","2°30'00,000E",,,working farm,RCBD,Landscape,3,YES,1;1,alley-cropping,Alley-cropping,4,3,"Gliricidia sepium,Flemingia macrophylla,Manihot esculenta,Zea mays",14000;750;750;12500,NA,YES,NA,YES,48,NA,NA,NA,,,,,,,intercropping,"Manihot esculenta,Zea mays",NA,YES,48,NA,NA,NA,,,,,,,,tree productivity;crop yields,yield,,,,,,,,,,,,,,,1,,6°27N,2-3°E,30000;15000;15000,48kg N ha-1,48kg N ha-1,,
3792,1256,28531083,7430,A comparison of alley cropping and block planting systems in sub-humid BÃ©nin,,"Alley cropping would be acceptable to farmers in West Africa, if the amount of tree-crop competition could be reduced and crop yields increased and stabilized. The importance of overall tree-crop competition in alley cropping was therefore quantified at three locations in the Republic of BÃ©nin, by comparing the performance of a maize-cassava intercrop and mixed hedges of Gliricidia sepium and Flemingia macrophylla in an alley cropping system, where the tree-crop interaction was high, and in a cut and carry system with block plantings, where the interface was restricted to one face. The establishment and productivity of trees in both agroforestry systems depended strongly on the natural soil fertility of the site, K and Ca being critical for both species. Alley hedges produced progressively more cut dry matter with higher leaf proportions than tree blocks and hence yielded significantly higher nutrient masses. Overall, the cut dry matter from five cuttings per cropping season ranged among locations from 855 to 1651 kg ha-1 yr-1 for alley hedges and from 777 to 869 kg ha-1 yr-1 for tree blocks. Differences in yields of maize and cassava between both systems were insignificant in all three environments and all cropping years under observation. The results of this study suggest that the overall effect of tree-crop competition was unimportant, but that tree-tree competition was the decisive factor in determining the total system productivity. Â© 1997 Kluwer Academic Publishers.",,Agroforestry Systems,"BÃ¶hringer, A
 
  and Leihner, D E",1996,Benin,in Attotinga,"6°41'00,000N","2°30'00,000E",,,working farm,RCBD,Landscape,3,YES,1;1,alley-cropping,Alley-cropping,4,3,"Gliricidia sepium,Flemingia macrophylla,Manihot esculenta,Zea mays",14000;750;750;12500,NA,YES,NA,NA,NA,NA,NA,NA,,,,,,,intercropping,"Manihot esculenta,Zea mays",NO,NO,0,NA,NA,NA,,,,,,,,tree productivity;crop yields,yield,,,,,,,,,,,,,,,1,,6°41N,2-3°E,30000;15000;15000,NA,0,,
3793,1256,28531083,7430,A comparison of alley cropping and block planting systems in sub-humid BÃ©nin,,"Alley cropping would be acceptable to farmers in West Africa, if the amount of tree-crop competition could be reduced and crop yields increased and stabilized. The importance of overall tree-crop competition in alley cropping was therefore quantified at three locations in the Republic of BÃ©nin, by comparing the performance of a maize-cassava intercrop and mixed hedges of Gliricidia sepium and Flemingia macrophylla in an alley cropping system, where the tree-crop interaction was high, and in a cut and carry system with block plantings, where the interface was restricted to one face. The establishment and productivity of trees in both agroforestry systems depended strongly on the natural soil fertility of the site, K and Ca being critical for both species. Alley hedges produced progressively more cut dry matter with higher leaf proportions than tree blocks and hence yielded significantly higher nutrient masses. Overall, the cut dry matter from five cuttings per cropping season ranged among locations from 855 to 1651 kg ha-1 yr-1 for alley hedges and from 777 to 869 kg ha-1 yr-1 for tree blocks. Differences in yields of maize and cassava between both systems were insignificant in all three environments and all cropping years under observation. The results of this study suggest that the overall effect of tree-crop competition was unimportant, but that tree-tree competition was the decisive factor in determining the total system productivity. Â© 1997 Kluwer Academic Publishers.",,Agroforestry Systems,"BÃ¶hringer, A
 
  and Leihner, D E",1996,Benin,in Aguagon,"7°58'00,000N","2°30'00,000E",,,working farm,RCBD,Landscape,3,YES,1;1,alley-cropping,Alley-cropping,4,3,"Gliricidia sepium,Flemingia macrophylla,Manihot esculenta,Zea mays",14000;750;750;12500,NA,YES,NA,NA,NA,NA,NA,NA,,,,,,,intercropping,"Manihot esculenta,Zea mays",NO,NO,0,NA,NA,NA,,,,,,,,tree productivity;crop yields,yield,,,,,,,,,,,,,,,1,,7°58N,2-3°E,30000;15000;15000,NA,0,,
