Notes,NAME,Common Name,Common_name_final,Common Name2,Name_matched_rank,Name_matched_accepted_family,Genus_matched,Specific_epithet_matched,Unmatched_terms,Taxonomic_status,Name_matched_url,Habit_pfaf,Habit_trop,Habit_Combined,Evergreen,Herb,Annual,Woodiness,N_Fixing,Height_pfaf,Height_trop,height (KEW),Growth,cultivation_trop,Polli,Height_combined,Min Rainfall,Max Rainfall,Min T°,max T°,,Soil,Shade,Moisture,Hardiness,Weed,fao_name_old,fao_group_old,fao_group,FAO_DB_africa,FAO_DB_Timber,FAO_spice,FAO_II,Ecocrop,FAO_GROUPII,FAO_Khoury,Timber,Medicinal,Alim,Part,alim_tropMEAN,medi_tropMEAN,other_tropMEAN,Profile,Hazards,Source,IUCN,Habitats,Range,Native_to,pollinators_trop,
,Abelmoschus esculentus,Okra,Okra,Okra,species,Malvaceae,Hibiscus,esculentus,NA,Synonym,http://www.tropicos.org/Name/19601616,Annual,Annual,Annual,herbaceous,herb,Annual,Herbaceous,No,1,1.50  ,NA,NULL,Cultivated,bees,1.5,,,,,,light (sandy) -medium -  heavy (clay),No shade,Moist,00 -> 01,NA,Okra,Vegetables,Okra,#N/A,#N/A,#N/A,Vegetables,,Vegetables,Vegetable,,,Alim,vegetables,4,3,2.66666666666667,alimmediother,NA,pfaf.org,NA,NA,The original habitat is obscure.,,"Bees, Self",#N/A
,Abies sp.,NA,,#N/A,genus,Pinaceae,Abies,NA,sp.,Accepted,http://www.tropicos.org/Name/40002848,NA,NA,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,NA,NA,NA,alimmediother,NA,NA,NA,NA,NA,,NA,#N/A
,Acacia angustissima,Prairie acacia. Timbre. Fernleaf Acacia,,Prairie acacia. Timbre. Fernleaf Acacia,species,Fabaceae,Acacia,angustissima,NA,Synonym,http://www.tropicos.org/Name/13000027,Tree,Evergreen Shrub,Evergreen Shrub,Evergreen,tree,Perennial,Woody,Acacia,5,5.00  ,NA,Fast,"Cultivated, Wild",insects,5,895,2870,5,30,,light (sandy) -medium -  heavy (clay),No shade,Dry- Moist,07 -> 10,Yes,Prairie acacia. Timbre. Fernleaf Acacia,NA,#N/A,#N/A,#N/A,#N/A,#N/A,https://tropical.theferns.info/viewtropical.php?id=Acaciella+angustissima,medicinal,#N/A,NA,NA,NA,NA,2,3,3.33333333333333,mediother,"Especially in times of drought, many Acacia species can concentrate high levels of the toxin Hydrogen cyanide in their foliage, making them dangerous for herbivores to eat.",pfaf.org,LC - least concern,"It is a subtropical plant. Hillsides, rock slopes, summits and in grassland with other shrubs, often in deciduous or semi-deciduous forest[303 ]. Mostly on rather dry, often rocky, brushy slopes or in thin forest, frequent in pine-oak forest, sometimes in hedges, to 2,700 m[331 ].","C. America - Panama, north to Mexico and southern N. America.",,insects,#N/A
,Acacia auriculiformis,"Ear-Pod Wattle, Black Acacia, Earleaf, Black wattle",,"Ear-Pod Wattle, Black Acacia, Earleaf, Black wattle",species,Fabaceae,Acacia,auriculiformis,NA,Accepted,http://www.tropicos.org/Name/13023667,Tree,Evergreen Tree,Evergreen Tree,Evergreen,tree,Perennial,Woody,Acacia,25,25.00  ,NA,Fast,"Cultivated, Wild",insects,25,650-760,2000-6000,24,38,,light (sandy) -medium -  heavy (clay),No shade,Dry- Moist,10 ->  12,Yes,"Ear-Pod Wattle, Black Acacia, Earleaf, Black wattle",NA,#N/A,#N/A,Timber,#N/A,#N/A,,Timber,#N/A,Timber,,,Timber mainly,0.333333333333333,1.33333333333333,4,alimmediother,None known,pfaf.org,LC - least concern,"A riparian species, ringing perennial rivers and semi-perennial creeks, and tending to form discontinuous populations along drainage systems[ 303 ]. Savannahs, woodlands, swamp edges, coastal savannas, grasslands, monsoon forests and regrowth[ 359 ].","Australia - Queensland, north through Papua New Guinea to Indonesia.",,Insects,#N/A
,acacia catechu,,,"Cutch tree, Catechu acacia",species,Fabaceae,Acacia,catechu,NA,Illegitimate,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2611610,,Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Acacia,15,NA,character(0),Fast,NA,"Bees, insects",15,TODO,TODO,TODO,TODO,,well drained,No shade,Dry- Moist,10 ->  12,No,,,#N/A,#N/A,#N/A,#N/A,#N/A,Ecocrop,Forage ,#N/A,,,,,1.5,2.5,"3,5",alimmediother,None Known,,LC - least concern,It grows in dry open forest in the west of Thailand. They grow in the drier plains of India,S. & SE Asia.,,"Bees, insects",#N/A
,Acacia ferruginea,Acacia ferruginea,,NA,species,Fabaceae,Acacia,ferruginea,NA,NA,NAme_matched_url,NA,Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Acacia,N1,12,NA,Fast,"Cultivated, Wild",insects,12,TODO,TODO,TODO,TODO,,NA,NA,NA,NA,NA,,,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.researchgate.net/publication/289001190_Review_on_Acacia_ferruginea_DC_Mimosaceae_An_endangered_medicinal_plant,medicinal,#N/A,,,,,2,2,2,,"Especially in times of drought, many Acacia species can concentrate high levels of the toxin Hydrogen cyanide in their foliage, making them dangerous for herbivores to eat",,VU - vulnerable,Scrubland and dry forests,NA,,insects,#N/A
,Acacia holosericea,"Strap wattle, Candelabra wattle",,"Strap wattle, Candelabra wattle",species,Fabaceae,Acacia,holosericea,NA,Accepted,http://www.tropicos.org/Name/13024048,"Shrub/ Perennial, Not climbing, Shrub/Tree",Shrub,Deciduous Shrub,Deciduous,Shrub,Perennial,Woody,Acacia,3,6.00  ,NA,Fast,"Ornamental, Wild","Insects, Birds",6,600,1200,19.5,34.7,,light (sandy) -medium -  heavy (clay),No shade,Moist,10 ->  12,No,"Strap wattle, Candelabra wattle",NA,#N/A,#N/A,#N/A,#N/A,#N/A,https://apps.worldagroforestry.org/treedb2/AFTPDFS/Acacia_holosericea.PDF,windbreaks,#N/A,NA,NA,NA,NA,1.66666666666667,2,3,alimother,"The seed of many Acacia species, including this one, is edible and highly nutritious, and can be eaten safely as a fairly major part of the diet. Not all species are edible, however, and some can contain moderate levels of toxins[1295]. Especially when harvesting from the wild, especial care should be taken to ensure correct identification of any plants harvested for food[K]. Especially in times of drought, many Acacia species can concentrate high levels of the toxin Hydrogen cyanide in their foliage, making them dangerous for herbivores to eat.",pfaf.org,Not Threatened,"Acacia-dominated scrubs and tall open shrubland, often developing dense, nearly monotypic populations along dry, stony or sandy drainage lines in disturbed sites such as road verges, gravel pits and burnt areas, growing in a variety of soil types[286]. It occurs in Australia in red sands. It is a tropical plant.","Australia - Western Australia, Northern Territory, Queensland",,"Insects, Birds",#N/A
,Acacia mangium,"Black Wattle, Hickory Wattle, Mangium",,"Black Wattle, Hickory Wattle, Mangium",species,Fabaceae,Acacia,mangium,NA,Accepted,http://www.tropicos.org/Name/13024208,"Perennial, Not climbing, Tree",Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,Acacia,NULL,25.00  ,NA,NULL,"Cultivated, Ornamental, Wild",insects,25,1500,3000,18,28,,NA,NA,NA,10 ->  12,Yes,"Black Wattle, Hickory Wattle, Mangium",NA,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,1.66666666666667,2,3,alimother,The plant (probably the seeds[K]) has been used as a fish poison[713].,NA,LC - least concern,"Gravelly sand or loam, commonly forming communities along watercourses[286]. Usually grows in open forest but sometimes found in monsoon forest and vine thickets, at elevations up to 900 metres[713].","Australia - Western Australia, Northern Territory, Queensland",,Insects,#N/A
,Acacia mearnsii,"Black Wattle, Late black wattle",,"Black Wattle, Late black wattle",species,Fabaceae,Acacia,mearnsii,NA,Accepted,http://www.tropicos.org/Name/13037485,Tree,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,Acacia,10,15.00  ,Tree 2-15 m,Fast,"Cultivated, Wild","Bees, insects",15,500,2050,9,20,,light (sandy) -medium,No shade,Moist,08-> 11,Yes,"Black Wattle, Late black wattle",NA,,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Timber,0.333333333333333,2.33333333333333,4,alimmediother,None known,pfaf.org,NA,"An understorey tree of tall open forests, in fringes of closed forests or in dense thickets on recolonized lands[310 ].","Australia - New South Wales, Victoria, South Australia, Tasmania.",,"Bees, Insects, Self",#N/A
Only control species,acacia pennatula,,,,,Fabaceae,Acacia,pennatula,,,,,,Semi-deciduous Tree,Deciduous,Tree,Perennial,Woody,Acacia,,,,Fast,Wild,insects,8,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,1,2,2,,,,LC - least concern,,,,,
