id,source_id,intervention_by_complexity,intervention_by_richness,Number_Total,lat_map,lon_map,n_id_complexity,n_id_richness
301,2994,Other,1,1,10.608333,93.233333,1,1
437,6042,Other,1,1,23.398611,103.395278,1,1
494,786,Other,1,1,43.733333,3.666667,1,1
718,7712,Other,1,1,6.100000,-0.816667,4,4
1,159,Very simple,2,2,-3.833333,39.750000,3,3
3,772,Very simple,2,2,-6.500000,36.750000,4,4
6,1631,Simple,2,2,7.500000,3.900000,8,8
8,1672,Simple,2,2,27.201944,88.371667,14,14
13,1775,Very simple,2,2,18.000000,-73.500000,9,9
15,1915,Very simple,2,2,-20.139167,-44.888056,2,2
16,1918,Very simple,2,2,18.583333,99.833333,2,2
18,1937,Very simple,2,2,13.000000,30.000000,3,3
19,1937,Very simple,2,2,12.000000,30.000000,3,3
20,1963,Very simple,2,2,26.750000,72.050000,18,18
21,1984,Very simple,2,2,13.266667,30.200000,8,8
25,2086,Very simple,2,2,0.566667,35.300000,6,6
29,2437,Very simple,2,2,-5.266667,-59.833333,2,2
30,2509,Simple,2,2,-1.326667,-80.726667,2,2
33,2904,Very simple,2,2,13.266667,3.483333,6,6
34,3002,Simple,2,2,-1.506667,120.036389,3,3
36,3098,Very simple,2,2,-15.316667,35.400000,18,18
37,3101,Very simple,2,2,40.216667,116.550000,5,5
38,3225,Very simple,2,2,0.155920,113.965382,12,12
40,3369,Very simple,2,2,30.983333,119.800000,2,2
42,3512,Very simple,2,2,2.576667,102.993333,2,2
43,3810,Very simple,2,2,40.434033,-87.024500,18,18
45,4407,Very simple,2,2,27.233333,109.850000,1,1
46,4484,Very simple,2,2,30.150000,76.416667,5,5
47,4574,Very simple,2,2,30.983333,119.800000,2,2
52,5294,Simple,2,2,7.945305,-1.219233,8,8
53,5489,Simple,2,2,-1.700000,NA,1,1
57,5798,Very simple,2,2,21.927500,101.265278,4,4
59,5888,Simple,2,2,1.264861,34.407639,3,3
61,6012,Very simple,2,2,7.200000,3.333333,4,4
62,6136,Very simple,2,2,38.083333,77.166667,3,3
63,6163,Simple,2,2,NA,NA,3,3
64,6214,Very simple,2,2,23.586301,81.173004,9,9
68,6452,Very simple,2,2,16.520389,-88.639028,2,2
69,6721,Very simple,2,2,21.925000,101.267500,3,3
